itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
228243,PH (SOFT),PH (SOFT),chartevents,Labs,None,Numeric,,
220274,PH (Venous),PH (Venous),chartevents,Labs,None,Numeric,,
227460,Phenobarbital,Phenobarbital,chartevents,Labs,None,Numeric with tag,,
227461,Phenytoin (Dilantin),Phenytoin (Dilantin),chartevents,Labs,None,Numeric with tag,,
226504,Phenytoin (Free),Phenytoin (Free),chartevents,Labs,None,Numeric,,
228239,Phenytoin (Free) (SOFT),Phenytoin (Free) (SOFT),chartevents,Labs,None,Numeric,,
225677,Phosphorous,Phosphorous,chartevents,Labs,None,Numeric,,
227457,Platelet Count,Platelet Count,chartevents,Labs,None,Numeric with tag,,
227516,PO2 (Mixed Venous),PO2 (Mixed Venous),chartevents,Labs,mmHg,Numeric,,
227442,Potassium (serum),Potassium (serum),chartevents,Labs,None,Numeric with tag,,
227464,Potassium (whole blood),Potassium (whole blood),chartevents,Labs,None,Numeric with tag,,
227465,Prothrombin time,PT,chartevents,Labs,None,Numeric with tag,,
228242,Pt. Temperature (BG) (SOFT),Pt. Temperature (BG) (SOFT),chartevents,Labs,None,Numeric,,
227466,PTT,PTT,chartevents,Labs,None,Numeric with tag,,
220645,Sodium (serum),Sodium (serum),chartevents,Labs,None,Numeric,,
228389,Sodium (serum) (soft),Sodium (serum) (soft),chartevents,Labs,None,Numeric with tag,,
226534,Sodium (whole blood),Sodium (whole blood),chartevents,Labs,None,Numeric,,
228390,Sodium (whole blood) (soft),Sodium (whole blood) (soft),chartevents,Labs,None,Numeric with tag,,
227471,Specific Gravity (urine),Specific Gravity (urine),chartevents,Labs,None,Numeric with tag,,
225698,TCO2 (calc) Arterial,TCO2 (calc) Arterial,chartevents,Labs,None,Numeric,,
223679,TCO2 (calc) Venous,TCO2 (calc) Venous,chartevents,Labs,None,Numeric,,
225685,Thiocynate,Thiocynate,chartevents,Labs,None,Numeric,,
227469,Thrombin,Thrombin,chartevents,Labs,None,Numeric with tag,,
225690,Total Bilirubin,Total Bilirubin,chartevents,Labs,None,Numeric,,
220650,Total Protein,Total Protein,chartevents,Labs,None,Numeric,,
225695,Uric Acid,Uric Acid,chartevents,Labs,None,Numeric,,
226062,Venous CO2 Pressure,PCO2 (Venous),chartevents,Labs,mmHg,Numeric,,
226063,Venous O2 Pressure,PO2 (Venous),chartevents,Labs,mmHg,Numeric,,
220546,WBC,WBC,chartevents,Labs,None,Numeric,,
220574,ZAlbumin,ZAlbumin,chartevents,Labs,None,Numeric,,
225622,ZBrain Natiuretic Peptide (BNP),ZBrain Natiuretic Peptide (BNP),chartevents,Labs,None,Numeric,,
220612,ZC Reactive Protein (CRP),ZC Reaction Protein (CRP),chartevents,Labs,None,Numeric,,
227685,ZCentral Venous O2% Sat,ZCentral Venous O2% Sat,chartevents,Labs,None,Numeric,,
224826,ZHCO3 (serum),ZHCO3 (serum),chartevents,Labs,None,Numeric,,
220561,ZINR,ZINR,chartevents,Labs,None,Numeric,,
225670,ZLDL measured,ZLDL measured,chartevents,Labs,None,Numeric,,
225676,ZPhenobarbital,ZPhenobarbital,chartevents,Labs,None,Numeric,,
225645,ZPhenytoin (Dilantin),ZPhenytoin (Dilantin),chartevents,Labs,None,Numeric,,
225678,ZPlatelet Count,ZPlatelet Count,chartevents,Labs,None,Numeric,,
220640,ZPotassium (serum),ZPotassium (serum),chartevents,Labs,None,Numeric,,
226535,ZPotassium (whole blood),ZPotassium (whole blood),chartevents,Labs,None,Numeric,,
220799,ZSpecific Gravity (urine),ZSpecific gravity (urine),chartevents,Labs,None,Numeric,,
229424,ROS-Cardiac,ROS-Cardiac,chartevents,MD Progress Note,,Text,,
229430,ROS-Endocrine,ROS-Endocrine,chartevents,MD Progress Note,,Text,,
229431,ROS-Extremeties / MSK,ROS-Extremeties / MSK,chartevents,MD Progress Note,,Text,,
229421,ROS-General,ROS-General,chartevents,MD Progress Note,,Text,,
229426,ROS-GI,ROS-GI,chartevents,MD Progress Note,,Text,,
229427,ROS-GU,ROS-GU,chartevents,MD Progress Note,,Text,,
229422,ROS-HEENT,ROS-HEENT,chartevents,MD Progress Note,,Text,,
229429,ROS-Heme / Lymph,ROS-Heme / Lymph,chartevents,MD Progress Note,,Text,,
229423,ROS-Neuro,ROS-Neuro,chartevents,MD Progress Note,,Text,,
229432,ROS-Psych,ROS-Psych,chartevents,MD Progress Note,,Text,,
229425,ROS-Respiratory,ROS-Respiratory,chartevents,MD Progress Note,,Text,,
229428,ROS-Skin,ROS-Skin,chartevents,MD Progress Note,,Text,,
220739,GCS - Eye Opening,Eye Opening,chartevents,Neurological,,Text,,
223901,GCS - Motor Response,Motor Response,chartevents,Neurological,,Text,,
223900,GCS - Verbal Response,Verbal Response,chartevents,Neurological,,Text,,
227489,GU Irrigant/Urine Volume Out,GU Irrigant/Urine Volume Out,outputevents,Output,mL,Numeric,,
226627,OR Urine,OR Urine,outputevents,Output,mL,Numeric,,
226631,PACU Urine,PACU Urine,outputevents,Output,mL,Numeric,,
226566,Urine and GU Irrigant Out,Urine and GU Irrigant Out,outputevents,Output,mL,Numeric,,
226861,ART %O2 saturation (PA Line),ART %O2 saturation (PA Line),chartevents,PA Line Insertion,%,Numeric,,
226815,Airway problems,Airway problems,chartevents,Respiratory,,Text,,
220245,CO2 production,CO2 production,chartevents,Respiratory,ml/min,Numeric,,
223835,Inspired O2 Fraction,FiO2,chartevents,Respiratory,None,Numeric,,
223059,Intubation - Details,Intubation - Details,chartevents,Respiratory,,Text,,
226814,Known difficult intubation,Known difficult intubation,chartevents,Respiratory,,Text,,
220277,O2 saturation pulseoxymetry,SpO2,chartevents,Respiratory,%,Numeric,,
224745,Respiratory Quotient,RQ,chartevents,Respiratory,None,Numeric,,
220210,Respiratory Rate,RR,chartevents,Respiratory,insp/min,Numeric,,
224688,Respiratory Rate (Set),Respiratory Rate (Set),chartevents,Respiratory,insp/min,Numeric,,
224689,Respiratory Rate (spontaneous),Respiratory Rate (spontaneous),chartevents,Respiratory,insp/min,Numeric,,
224690,Respiratory Rate (Total),Respiratory Rate (Total),chartevents,Respiratory,insp/min,Numeric,,36
227630,Arctic Sun Temp #1 Location,Arctic Sun Temp #1 Location,chartevents,Routine Vital Signs,,Text,,
227631,Arctic Sun Temp #2 Location,Arctic Sun Temp #2 Location,chartevents,Routine Vital Signs,,Text,,
227632,Arctic Sun/Alsius Temp #1 C,Arctic Sun/Alsius Temp #1 C,chartevents,Routine Vital Signs,°C,Numeric,,
227634,Arctic Sun/Alsius Temp #2 C,Arctic Sun/Alsius Temp #2 C,chartevents,Routine Vital Signs,°C,Numeric,,
225310,ART BP Diastolic,ART BP Diastolic,chartevents,Routine Vital Signs,mmHg,Numeric,,
225312,ART BP Mean,ART BP Mean,chartevents,Routine Vital Signs,mmHg,Numeric,,
225309,ART BP Systolic,ART BP Systolic,chartevents,Routine Vital Signs,mmHg,Numeric,,
220051,Arterial Blood Pressure diastolic,ABPd,chartevents,Routine Vital Signs,mmHg,Numeric,60,90
220052,Arterial Blood Pressure mean,ABPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
220050,Arterial Blood Pressure systolic,ABPs,chartevents,Routine Vital Signs,mmHg,Numeric,90,140
229863,Forehead Sensor Position Changed,Forehead Sensor Position Changed,chartevents,Routine Vital Signs,,Checkbox,,
229862,Forehead SpO2 Sensor in Place,Forehead SpO2 Sensor in Place,chartevents,Routine Vital Signs,,Checkbox,,
220045,Heart Rate,HR,chartevents,Routine Vital Signs,bpm,Numeric,,
220048,Heart Rhythm,Heart Rhythm,chartevents,Routine Vital Signs,,Text,,
224643,Manual Blood Pressure Diastolic Left,Manual BPd L,chartevents,Routine Vital Signs,mmHg,Numeric,,
227242,Manual Blood Pressure Diastolic Right,Manual BPd R,chartevents,Routine Vital Signs,mmHg,Numeric,,
224167,Manual Blood Pressure Systolic Left,Manual BPs L,chartevents,Routine Vital Signs,mmHg,Numeric,,
227243,Manual Blood Pressure Systolic Right,Manual BPs R,chartevents,Routine Vital Signs,mmHg,Numeric,,
220180,Non Invasive Blood Pressure diastolic,NBPd,chartevents,Routine Vital Signs,mmHg,Numeric,,
220181,Non Invasive Blood Pressure mean,NBPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
220179,Non Invasive Blood Pressure systolic,NBPs,chartevents,Routine Vital Signs,mmHg,Numeric,,
228229,PAR-Activity,PAR-Activity,chartevents,Routine Vital Signs,,Text,,
228230,PAR-Circulation,PAR-Circulation,chartevents,Routine Vital Signs,,Text,,
228231,PAR-Consciousness,PAR-Consciousness,chartevents,Routine Vital Signs,,Text,,
228232,PAR-Oxygen saturation,PAR-Oxygen saturation,chartevents,Routine Vital Signs,,Text,,
228233,PAR-Remain sedated,PAR-Remain sedated,chartevents,Routine Vital Signs,,Checkbox,,
228234,PAR-Respiration,PAR-Respiration,chartevents,Routine Vital Signs,,Text,,
226737,AaDO2ApacheIIValue,AaDO2ApacheIIValue,chartevents,Scores - APACHE II,mmHg,Numeric,,
226738,AgeApacheIIScore,AgeApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226739,AgeApacheIIValue,AgeApacheIIValue,chartevents,Scores - APACHE II,years,Numeric,,
226743,APACHE II,APACHE II,chartevents,Scores - APACHE II,None,Numeric,,
226740,APACHE II Diagnosistic weight factors - Medical,Diagnostic weight category - Medical,chartevents,Scores - APACHE II,,Text,,
226742,APACHE II Diagnosistic weight factors - Surgical,Diagnosistic weight categories - Surgical,chartevents,Scores - APACHE II,,Text,,
226741,APACHE II Diagnosistic weight factors - Surgical emergency,Diagnosistic weight categories - Surgical emergenc,chartevents,Scores - APACHE II,,Text,,
226744,APACHE II PDR - Adjusted,APACHE II PDR - Adjusted,chartevents,Scores - APACHE II,%,Numeric,,
226745,APACHE II Predecited Death Rate,APACHE II PDR,chartevents,Scores - APACHE II,%,Numeric,,
226746,ApacheII chronic health,ApacheII chronic health,chartevents,Scores - APACHE II,,Text,,
226747,APACHEII-Chronic health points,APACHEII-Chp,chartevents,Scores - APACHE II,,Text,,
226748,APACHEII-Renal failure,APACHEII-Renal failure,chartevents,Scores - APACHE II,,Checkbox,,
226749,ChpApacheIIScore,ChpApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226751,CreatinineApacheIIScore,CreatinineApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226752,CreatinineApacheIIValue,CreatinineApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226753,DswfApacheScore,DswfApacheScore,chartevents,Scores - APACHE II,None,Numeric,,
226754,FiO2ApacheIIValue,FiO2ApacheIIValue,chartevents,Scores - APACHE II,%,Numeric,,
226755,GcsApacheIIScore,GcsApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226756,GCSEyeApacheIIValue,GCSEyeApacheIIValue,chartevents,Scores - APACHE II,,Text,,
226757,GCSMotorApacheIIValue,GCSMotorApacheIIValue,chartevents,Scores - APACHE II,,Text,,
226758,GCSVerbalApacheIIValue,GCSVerbalApacheIIValue,chartevents,Scores - APACHE II,,Text,,
228112,GCSVerbalApacheIIValue (intubated),GCSVerbalApacheIIValue (intubated),chartevents,Scores - APACHE II,,Text,,
226759,HCO3ApacheIIValue,HCO3ApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226760,HCO3Score,HCO3Score,chartevents,Scores - APACHE II,None,Numeric,,
226761,HematocritApacheIIScore,HematocritApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226762,HematocritApacheIIValue,HematocritApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226763,HrApacheIIScore,HrApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226764,HrApacheIIValue,HrApacheIIValue,chartevents,Scores - APACHE II,bpm,Numeric,,
226765,MapApacheIIScore,MapApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226766,MapApacheIIValue,MapApacheIIValue,chartevents,Scores - APACHE II,mmHg,Numeric,,
226767,OxygenApacheIIScore,OxygenApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226768,PhApacheIIScore,PhApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226769,PHApacheIIValue,PHApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226770,PO2ApacheIIValue,PO2ApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226771,PotassiumApacheIIScore,PotassiumApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226772,PotassiumApacheIIValue,PotassiumApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226773,RrApacheIIScore,RrApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226774,RRApacheIIValue,RRApacheIIValue,chartevents,Scores - APACHE II,insp/min,Numeric,,
226775,SodiumApacheIIScore,SodiumApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226776,SodiumApacheIIValue,SodiumApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226777,TempApacheIIScore,TempApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226778,TempApacheIIValue,TempApacheIIValue,chartevents,Scores - APACHE II,°F,Numeric,,
226779,WbcApacheIIScore,WbcApacheIIScore,chartevents,Scores - APACHE II,None,Numeric,,
226780,WBCApacheIIValue,WBCApacheIIValue,chartevents,Scores - APACHE II,None,Numeric,,
226987,APACHE IV diagnosis,APACHE IV diagnosis,chartevents,Scores - APACHE IV,,Text,,
226985,APACHE IV diagnosis choice 1,APACHE IV diagnosis choice 1,chartevents,Scores - APACHE IV,,Text,,
226986,APACHE IV diagnosis choice 2,APACHE IV diagnosis choice 2,chartevents,Scores - APACHE IV,,Text,,
226988,APACHE IV main groups non-operative,APACHE IV main group non-operatives,chartevents,Scores - APACHE IV,,Text,,
226989,APACHE IV main groups operative,APACHE IV main group operative,chartevents,Scores - APACHE IV,,Text,,
227025,Non-Operative Cardiovascular (CARDIOVASC),Cardiovascular Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227026,Non-Operative Gastrointestinal (GI),Gastrointestinal Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227027,Non-Operative Genitourinary (GENITOURIN),Genitourinary Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227028,Non-Operative Hematology (HEMATO),Hematology Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227029,Non-Operative Metabolic/Endocrine (METAB/ENDO),Metabolic/Endocrine Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227030,Non-Operative Musculoskeletal/Skin (MUSKELSKIN),Musculoskeletal/Skin Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227031,Non-Operative Neurologic (NEUROLOGIC),Neurologic Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227032,Non-Operative Respiratory (RESPIRAT),Respiratory Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227033,Non-Operative Transplant (TRANSPLANT),Transplant Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227034,Non-Operative Trauma (TRAUMA),Trauma Non-Operative,chartevents,Scores - APACHE IV,,Text,,
227040,Post-Operative Cardiovascular (CARDIOVASC),Cardiovascular Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227041,Post-Operative Gastrointestinal (GI),Gastrointestinal Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227042,Post-Operative Genitourinary (GENITOURIN),Genitourinary Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227043,Post-Operative Hematology (HEMATO),Hematology Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227044,Post-Operative Metabolic/Endocrine (METAB/ENDO),Metabolic/Endocrine Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227045,Post-Operative Musculoskeletal/Skin (MUSKELSKIN),Musculoskeletal/Skin Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227046,Post-Operative Neurologic (NEUROLOGIC),Neurologic Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227047,Post-Operative Respiratory (RESPIRAT),Respiratory Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227048,Post-Operative Transplant (TRANSPLANT),Transplant Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227049,Post-Operative Trauma (TRAUMA),Trauma Post-Operative,chartevents,Scores - APACHE IV,,Text,,
227056,Thrombolytic therapy,Thrombolytic therapy,chartevents,Scores - APACHE IV,,Checkbox,,
227057,Type of admission,Type of admission,chartevents,Scores - APACHE IV,,Text,,
227061,Ventilated at any time during ICU Day 1,Ventilated at any time during ICU Day 1,chartevents,Scores - APACHE IV,,Checkbox,,
226979,Admission location,Admission location,chartevents,Scores - APACHE IV (2),,Text,,
226980,AgeScore_ApacheIV,AgeScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
226981,Albumin_ApacheIV,Albumin_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
226982,AlbuminScore_ApacheIV,AlbuminScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
226983,Apache IV A-aDO2,Apache IV A-aDO2,chartevents,Scores - APACHE IV (2),None,Numeric,,
226984,Apache IV Age,Apache IV Age,chartevents,Scores - APACHE IV (2),years,Numeric,,
226990,Apache IV PaFiRatio,Apache IV PaFiRatio,chartevents,Scores - APACHE IV (2),None,Numeric,,
226991,APACHEIII,APACHEIII,chartevents,Scores - APACHE IV (2),None,Numeric,,
226993,ApacheIV_LOS,ApacheIV_LOS,chartevents,Scores - APACHE IV (2),%,Numeric,,
226994,ApacheIV_Mortality prediction,ApacheIV_Mortality prediction,chartevents,Scores - APACHE IV (2),None,Numeric,,
226995,ApacheIV_Natural antilog,ApacheIV_Natural antilog,chartevents,Scores - APACHE IV (2),None,Numeric,,
226996,APS,APS,chartevents,Scores - APACHE IV (2),None,Numeric,,
226997,ARF,ARF,chartevents,Scores - APACHE IV (2),,Checkbox,,
226998,Bilirubin_ApacheIV,Bilirubin_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
226999,BiliScore_ApacheIV,BiliScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227000,BUN_ApacheIV,BUN_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227001,BunScore_ApacheIV,BunScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227002,CABG Patient,CABG Patient,chartevents,Scores - APACHE IV (2),,Checkbox,,
226750,Chronic Dilaysis,Chronic Dilaysis,chartevents,Scores - APACHE IV (2),,Checkbox,,
227003,Chronic health on admission,Chronic health on admission,chartevents,Scores - APACHE IV (2),,Text,,
227004,ChronicScore_ApacheIV,ChronicScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
226893,Coefficient Hospital Mortality,Coefficient Hospital Mortality,chartevents,Scores - APACHE IV (2),,Text,,
226894,Coefficient ICU length of stay,Coefficient ICU length of stay,chartevents,Scores - APACHE IV (2),,Text,,
227005,Creatinine_ApacheIV,Creatinine_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227006,CreatScore_ApacheIV,CreatScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227007,Diabetes,Diabetes,chartevents,Scores - APACHE IV (2),,Checkbox,,
227008,Ejection Fraction,Ejection Fraction,chartevents,Scores - APACHE IV (2),%,Numeric,0,
227010,FiO2_ApacheIV,FiO2_ApacheIV,chartevents,Scores - APACHE IV (2),%,Numeric,,
227009,FiO2_ApacheIV_old,FiO2_ApacheIV_old,chartevents,Scores - APACHE IV (2),None,Numeric,,
227011,GCSEye_ApacheIV,GCSEye_ApacheIV,chartevents,Scores - APACHE IV (2),,Text,,
227012,GCSMotor_ApacheIV,GCSMotor_ApacheIV,chartevents,Scores - APACHE IV (2),,Text,,
227013,GcsScore_ApacheIV,GcsScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227014,GCSVerbal_ApacheIV,GCSVerbal_ApacheIV,chartevents,Scores - APACHE IV (2),,Text,,
227015,Glucose_ApacheIV,Glucose_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227016,GlucoseScore_ApacheIV,GlucoseScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227017,Hematocrit_ApacheIV,Hematocrit_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227018,HR_ApacheIV,HR_ApacheIV,chartevents,Scores - APACHE IV (2),bpm,Numeric,,
227019,HrScore_ApacheIV,HrScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227020,HtScore_ApacheIV,HtScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227021,Intubated_ApacheIV,Intubated_ApacheIV,chartevents,Scores - APACHE IV (2),,Checkbox,,
227022,LOS pre-ICU admission,LOS pre-ICU admission,chartevents,Scores - APACHE IV (2),None,Numeric,,
227023,MAP_ApacheIV,MAP_ApacheIV,chartevents,Scores - APACHE IV (2),mmHg,Numeric,,
227024,MapScore_ApacheIV,MapScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227035,OxygenScore_ApacheIV,OxygenScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227036,PCO2_ApacheIV,PCO2_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227037,PH_ApacheIV,PH_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227038,PHPaCO2Score_ApacheIV,PHPaCO2Score_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227039,PO2_ApacheIV,PO2_ApacheIV,chartevents,Scores - APACHE IV (2),mmHg,Numeric,,
227050,RR_ApacheIV,RR_ApacheIV,chartevents,Scores - APACHE IV (2),insp/min,Numeric,,
227051,RRScore_ApacheIV,RRScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227052,Sodium_ApacheIV,Sodium_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227053,SodiumScore_ApacheIV,SodiumScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227054,TemperatureF_ApacheIV,TemperatureF_ApacheIV,chartevents,Scores - APACHE IV (2),°F,Numeric,,
227055,TempScore_ApacheIV,TempScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227519,Urine output_ApacheIV,Urine output,chartevents,Scores - APACHE IV (2),None,Numeric,,
227059,UrineScore_ApacheIV,UrineScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227060,Use A-aDO2,Use A-aDO2,chartevents,Scores - APACHE IV (2),,Checkbox,,
227062,WBC_ApacheIV,WBC_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
227063,WBCScore_ApacheIV,WBCScore_ApacheIV,chartevents,Scores - APACHE IV (2),None,Numeric,,
224056,Braden Activity,Braden Activity,chartevents,Skin - Assessment,,Text,,
224059,Braden Friction/Shear,Braden Friction/Shear,chartevents,Skin - Assessment,,Text,,
224057,Braden Mobility,Braden Mobility,chartevents,Skin - Assessment,,Text,,
224055,Braden Moisture,Braden Moisture,chartevents,Skin - Assessment,,Text,,
224058,Braden Nutrition,Braden Nutrition,chartevents,Skin - Assessment,,Text,,
224054,Braden Sensory Perception,Braden Sensory Perception,chartevents,Skin - Assessment,,Text,,
